artifact_id,layer,school_id,student_id,artifact_type,canonical_path,source_or_candidate,status,accepted_at,sha256,notes
input-school-hunau,input,hunau-undergraduate,,school-source,00-inputs/schools/hunau-undergraduate__source-template.docx,../school-template-hunannongye.docx,hash-bound-input,2026-08-04,776649b4af9cfef3a50e859490dd75f1061bfcc2ca2aac20181f73e2bb0361a6,Gold 副本与外层原件 SHA-256 一致
input-school-njau,input,njau-undergraduate,,school-source,00-inputs/schools/njau-undergraduate__source-template.docx,../school-template-nannong-undergraduate.docx,hash-bound-input,2026-08-04,1c387b1991720ab2452284b02d9388ed6ab94ffce143468f43ac60e812331536,Gold 副本与外层原件 SHA-256 一致
input-school-pku,input,pku-graduate,,school-source,00-inputs/schools/pku-graduate__source-template.docx,../school-template-pku-graduate.docx,hash-bound-input,2026-08-04,720372f4e70b75ade60a302e95abc870e47d47ac7e6cbf0e5a16ceef4d619e14,Gold 副本与外层原件 SHA-256 一致
input-student-001,input,,student-001,student-source,00-inputs/students/student-001__source-thesis.docx,../student-content-real-student-001.docx,hash-bound-input,2026-08-04,2e3d6310611cbe2fafddbda18e7b83387b5f3ea3d1f0f3163154d6ec129a6f60,Gold 副本与外层原件 SHA-256 一致
input-student-002,input,,student-002,student-source,00-inputs/students/student-002__source-thesis.docx,../student-content-real-student-002.docx,hash-bound-input,2026-08-04,fc39ac02efd152ddf609199615256393e3077b49629e1cca48e1f437b2e44a9b,Gold 副本与外层原件 SHA-256 一致
input-student-003,input,,student-003,student-source,00-inputs/students/student-003__source-thesis.docx,../student-content-real-student-003.docx,hash-bound-input,2026-08-04,cf49d90832c44d2f28e7fe6940217f4afe7c637f179b3610c75801b900e7d290,Gold 副本与外层原件 SHA-256 一致
school-hunau-logical-pages,school-gold,hunau-undergraduate,,logical-page-unit-set,10-school-assets/01-hunau-undergraduate/logical-pages/unit-manifest.json,/Users/fl/Documents/Codex/2026-08-03/new-chat/outputs/湖南农业大学本科,gold,2026-08-04,77459aa40a295ef46cbea8280930136c0ad79fd5a48ad7f3c24f771196fab435,10 个独立 Word 单元；Microsoft Word 22 个页面拥有区全部通过
school-hunau-fillable,school-gold,hunau-undergraduate,,fillable-template,10-school-assets/01-hunau-undergraduate/hunau-undergraduate__fillable-template.docx,../school-template-hunannongye-clean.docx,candidate,,1ad290e7c9c73be6d91fd5cb3d608675bb5f7b16f9c8473884e90ba5a601514f,clean 候选已按标准路径保存并完成字节级哈希绑定；尚未通过 Human 验收和 Gold 晋升门
school-hunau-styled-mapping,school-gold,hunau-undergraduate,,styled-field-mapping,10-school-assets/01-hunau-undergraduate/hunau-undergraduate__styled-field-mapping.xlsx,,missing,,,待制作带样式字段映射文件
school-njau-logical-pages,school-gold,njau-undergraduate,,logical-page-unit-set,10-school-assets/02-njau-undergraduate/logical-pages/unit-manifest.json,/Users/fl/Documents/Codex/2026-08-03/new-chat/outputs/两校模板_按逻辑单元拆分/南京农业大学本科,gold,2026-08-04,d8e816a481b614d202f7b80655a6af6388ac448f9f8f5edfe780225dcde1cb76,10 个独立 Word 单元；Microsoft Word 12 页逐像素零差
school-njau-fillable,school-gold,njau-undergraduate,,fillable-template,10-school-assets/02-njau-undergraduate/njau-undergraduate__fillable-template.docx,../school-template-nannong-undergraduate-clean.docx,candidate,,102bfca1cf158ee47fecab45fdcca123df0ea5fd7bf50c8c4a30affee42d4ef6,clean 候选已按标准路径保存并完成字节级哈希绑定；尚未通过 Human 验收和 Gold 晋升门
school-njau-styled-mapping,school-gold,njau-undergraduate,,styled-field-mapping,10-school-assets/02-njau-undergraduate/njau-undergraduate__styled-field-mapping.xlsx,,missing,,,待制作带样式字段映射文件
school-pku-logical-pages,school-gold,pku-graduate,,logical-page-unit-set,10-school-assets/03-pku-graduate/logical-pages/unit-manifest.json,/Users/fl/Documents/Codex/2026-08-03/new-chat/outputs/两校模板_按逻辑单元拆分/北京大学研究生,gold,2026-08-04,b6c96d33380e125b08ab78b277d96deb9f7b9fcf75f7e383cdce181aa886ccbb,12 个独立 Word 单元；排除源 PDF 第 2 和第 4 页 oddPage 虚拟补页
school-pku-fillable,school-gold,pku-graduate,,fillable-template,10-school-assets/03-pku-graduate/pku-graduate__fillable-template.docx,/Users/fl/Documents/Codex/2026-08-03/files-mentioned-by-the-user-school/outputs/pku-graduate-clean-template.docx,gold,2026-08-05,2328d529eef8eedc110783c106d8a9dbcf54eb230f5105c4e7d3fb88c64992d8,最终干净可填写模板；40 项检查通过；Microsoft Word 17 页且第 13 页横向；实名评审条件页与匿名 oddPage 规则已复核
school-pku-styled-mapping,school-gold,pku-graduate,,styled-field-mapping,10-school-assets/03-pku-graduate/pku-graduate__styled-field-mapping.xlsx,,missing,,,待制作带样式字段映射文件
student-001-extracted,student-gold,,student-001,extracted-content,20-student-assets/student-001/student-001__extracted-content.docx,,missing,,,目标学校无关的结构化学生内容
student-002-extracted,student-gold,,student-002,extracted-content,20-student-assets/student-002/student-002__extracted-content.docx,,missing,,,目标学校无关的结构化学生内容
student-003-extracted,student-gold,,student-003,extracted-content,20-student-assets/student-003/student-003__extracted-content.docx,,missing,,,目标学校无关的结构化学生内容
convert-hunau-001,cross-gold,hunau-undergraduate,student-001,converted,30-cross-conversions/01-hunau-undergraduate/hunau-undergraduate__student-001__converted.docx,,missing,,,待生成
convert-hunau-002,cross-gold,hunau-undergraduate,student-002,converted,30-cross-conversions/01-hunau-undergraduate/hunau-undergraduate__student-002__converted.docx,,missing,,,待生成
convert-hunau-003,cross-gold,hunau-undergraduate,student-003,converted,30-cross-conversions/01-hunau-undergraduate/hunau-undergraduate__student-003__converted.docx,,missing,,,待生成
convert-njau-001,cross-gold,njau-undergraduate,student-001,converted,30-cross-conversions/02-njau-undergraduate/njau-undergraduate__student-001__converted.docx,../student-content-real-student-001-南京农业大学模板转换稿_修复复核版_20260805.docx,gold,2026-08-05,96a252874a8af6a73b9630d6b393dc7f504a447b436245dc6886eddc23ff0518,转换结果 Gold；layout/integrity/links PASS；document_state=review_draft；学术成果选填及一处双语表题待补
convert-njau-002,cross-gold,njau-undergraduate,student-002,converted,30-cross-conversions/02-njau-undergraduate/njau-undergraduate__student-002__converted.docx,../student-content-real-student-002-南京农业大学模板转换稿_修复复核版_20260805.docx,gold,2026-08-05,4e488f9adf09a1cbd9e79c8bf14d1dd8024eb98981b5a5ccb05d1208eab0faa6,转换结果 Gold；layout/integrity/links PASS；document_state=review_draft；致谢必填且附录与成果选填待补
convert-njau-003,cross-gold,njau-undergraduate,student-003,converted,30-cross-conversions/02-njau-undergraduate/njau-undergraduate__student-003__converted.docx,../student-content-real-student-003-南京农业大学模板转换稿_修复复核版_保留批注修订_20260805.docx,gold,2026-08-05,a2e373291f0d22e9d04d6f352c50a800217702fd0464c9fe664af1ab4ce676db,转换结果 Gold；layout/integrity/links PASS；document_state=review_draft；致谢待补；保留9条批注11个插入10个删除节点
convert-pku-001,cross-gold,pku-graduate,student-001,converted,30-cross-conversions/03-pku-graduate/pku-graduate__student-001__converted.docx,,missing,,,待生成
convert-pku-002,cross-gold,pku-graduate,student-002,converted,30-cross-conversions/03-pku-graduate/pku-graduate__student-002__converted.docx,,missing,,,待生成
convert-pku-003,cross-gold,pku-graduate,student-003,converted,30-cross-conversions/03-pku-graduate/pku-graduate__student-003__converted.docx,,missing,,,待生成
